,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/06,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/06,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/06,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/07,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/07,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/07,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/08,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/08,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/08,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/09,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/09,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/09,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/10,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/10,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/10,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/aman199002/alexa_birthday_reminder,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/aman199002/alexa_birthday_reminder,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/aman199002/alexa_birthday_reminder,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/amitku126/all_en/basic-starter,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/amitku126/falcon/Amazon_Pay_Broader_10_0,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/amitku126/falcon/basic-starter,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/amitku126/falcon/EN_Only_3_0,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/amitku126/falcon/EN_with_other_4_0,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/amitku126/falcon/High_Risk_Broader_10_0,MyNameIsIntent,1,name,AMAZON.US_FIRST_NAME
,repos/AndrewSenol/theStudyBarAlexa/testDB,myNameIs,1,firstName,AMAZON.US_FIRST_NAME
,repos/AndrewSenol/theStudyBarAlexa/testDB,myNameIs,1,lastName,last_names
,repos/AndrewSenol/theStudyBarAlexa/theStudyBar,myNameIs,1,firstName,AMAZON.US_FIRST_NAME
,repos/AndrewSenol/theStudyBarAlexa/theStudyBar,myNameIs,1,lastName,last_names
,repos/annaanx24/TechKNOWledgy/TechKNOWledgy,CaptureUserNameIntent,1,name,AMAZON.US_FIRST_NAME
,repos/annalenastrx/ClothingRecommendation/SkillDownload,WelcomeIntent,1,name,AMAZON.DE_FIRST_NAME
,repos/annalenastrx/ClothingRecommendation/VSCodeDownload,WelcomeIntent,1,name,AMAZON.DE_FIRST_NAME
,repos/ArunSarva/Alexa-skill,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/ArunSarva/Alexa-skill,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/ArunSarva/Alexa-skill,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/ashusath/rememberName,RememberName,1,name,AMAZON.US_FIRST_NAME
,repos/ashwiniverma/NonProfitCompassion/interaction-service,NameIntent,1,username,AMAZON.US_FIRST_NAME
,repos/bespoken-samples/GuessThePrice,GetContestantName,1,PlayerName,AMAZON.US_FIRST_NAME
,repos/CamiWilliams/LevelUpRiddles-Workshop/Step 1 - Add Advanced Voice Design,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
,repos/CamiWilliams/LevelUpRiddles-Workshop/Step 2 - Add ISP,PlayGameIntent,1,name,AMAZON.US_FIRST_NAME
