skill,intent,slot_name,slot_type
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,AddingMedicines,morningslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,AddingMedicines,afternoonslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,AddingMedicines,eveningslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,AddingMedicines,nightslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/helloworld/mahitas,Registration,First_Name,AMAZON.FirstName
repos/mahithasree-sakthikumar/helloworld/mahitas,Registration,Last_Name,AMAZON.FirstName
repos/mahithasree-sakthikumar/helloworld/mahitas,Registration,Gender,AMAZON.FirstName
repos/mahithasree-sakthikumar/helloworld/mahitas,Registration,Mobile_No,AMAZON.PhoneNumber
repos/mahithasree-sakthikumar/helloworld/mahitas,Registration,profession,AMAZON.FirstName
repos/mahithasree-sakthikumar/helloworld/mahitas,Login,profession,AMAZON.FirstName
repos/mahithasree-sakthikumar/helloworld/mahitas,ViewOtherPoint,profession,AMAZON.FirstName
repos/Makerdemy/Alexa-skills-in-24-hours/Section 3/3.2/Habitat skill,NameIntent,name,AMAZON.US_FIRST_NAME
repos/Makerdemy/Alexa-skills-in-24-hours/Section 3/3.2/Habitat skill,HomeIntent,city,AMAZON.US_CITY
repos/malhotra-vikas/alexa-cookbook/feature-demos/skill-demo-dialog-delegate,PlanMyTripIntent,fromCity,AMAZON.US_CITY
repos/manuel1507/receptionist,MeetingIntent,customer,AMAZON.US_FIRST_NAME
repos/manuel1507/receptionist,MeetingIntent,employee,AMAZON.US_FIRST_NAME
repos/manuel1507/receptionist,MeetingIntent,employee_last_name,AMAZON.US_FIRST_NAME
repos/marxtrader/lullaby-baby/alexa-notifier,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/megantosh/AlexaImAmt/src/Tutorials/myPetMatch,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/13_Update Lambda Function,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/15_Use Alexa SDK v1 Apdapter,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/16_Using ResponseBuilder in Alexa SDK v1,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/18_Use CloudWatch,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/20_Using Cards,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/21_Generate Audio using SSML,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/22_Using Audio Directive,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/23_Using Video Directive,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/24_Using Hints in Card,DisplayGreetings,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/25_Delegate Directive,IntroWithAge,PersonName,AMAZON.Person
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/25_Delegate Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/26_ElicitSlot Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/26_ElicitSlot Directive,AddUserPrefrence,CountryName,AMAZON.Country
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/27_ConfirmSlot Directive,IntroWithAge,Age,AMAZON.NUMBER
repos/mehtanilay10/Custom-Alexa-Skill-Tutorials/27_ConfirmSlot Directive,AddUserPrefrence,CountryName,AMAZON.Country
