violation,official skills,invocation name violation,policy,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,AdminAlexaBledina/AlexaDocumentation/05,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,AdminAlexaBledina/AlexaDocumentation/05_intent_chaining,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,fgozalof/CursodeAlexa/04,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,fgozalof/CursodeAlexa/05,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,fgozalof/CursodeAlexa/05_intent_chaining,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,germanviscuso/ASKVideoSeries/04,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,germanviscuso/ASKVideoSeries/05,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,germanviscuso/ASKVideoSeries/05_intent_chaining,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,mikdanjey/AlexaKyybaHappyBirthday,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,renatospaka/zero-2-hero,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,AdminAlexaBledina/AlexaDocumentation/05,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,AdminAlexaBledina/AlexaDocumentation/05_intent_chaining,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,AdminAlexaBledina/AlexaDocumentation/06,welcome to happy birthday. let's have some fun with your birthday!,
