output lack a privacy policy,fgozalof/CursodeAlexa/06
output lack a privacy policy,SwapnilShahGit/STEM-Party
output lack a privacy policy,Makerdemy/Advanced-Alexa/SECTION-2/Let_us_get_familiar
output lack a privacy policy,SmartPracticeschool/SPS-4104-Develop-Alexa-Skill-for-COVID-19-Recommendations
output lack a privacy policy,TheDreamSaver/alexa-oreilly/cake time/05 - Add Interceptors
output lack a privacy policy,AdminAlexaBledina/AlexaDocumentation/04
output lack a privacy policy,AndrewSenol/theStudyBarAlexa/testDB
output lack a privacy policy,annaanx24/TechKNOWledgy/TechKNOWledgy
output lack a privacy policy,devinjacobson/AlexaQuiz
output lack a privacy policy,niteshbharti005101/XploVR/AWS Backend/VG_3
output lack a privacy policy,rupaku/codebase/Project/alexa cake walk remember
output lack a privacy policy,ahitt6345/Kebabkat-Alexa/amzn1.ask.skill.aca43909-cf68-4e1a-bc9a-3e0a77eeb72e
output lack a privacy policy,xarques/skill-joyeux-anniversaire/3-ManageDialogs
output lack a privacy policy,willilai/william-lai-cake-time/william-lai-cake-time
output lack a privacy policy,niteshbharti005101/XploVR/AWS Backend/VG_4
output lack a privacy policy,CeesJol/my-cafe
output lack a privacy policy,fgozalof/CursodeAlexa/09
output lack a privacy policy,alexa-labs/skill-sample-nodejs-level-up-riddles/Step 2 - Add ISP
output lack a privacy policy,SmartPracticeschool/SPS-4169-Develop-Alexa-Skill-for-COVID-19-Recommendations/Alexa
output lack a privacy policy,Sethlimlee/AlexaCakeTimeSkill
output lack a privacy policy,ScottKwang/CodeWithFriends-Spring2020/projects
output lack a privacy policy,germanviscuso/ASKVideoSeries/07
output lack a privacy policy,AlexaRevolution/book_samples_v1/Ch_14/CuriosidadesdelAjolote
output lack a privacy policy,TheDreamSaver/alexa-workshop-convoke/Hello World
output lack a privacy policy,AdminAlexaBledina/AlexaDocumentation/09
output lack a privacy policy,mikdanjey/AlexaKyybaHappyBirthday
output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/09
output lack a privacy policy,AdminAlexaBledina/AlexaDocumentation/07
output lack a privacy policy,niteshbharti005101/XploVR/AWS Backend/VG14
output lack a privacy policy,xarques/skill-joyeux-anniversaire/7-External APIs
output lack a privacy policy,germanviscuso/ASKVideoSeries/03
output lack a privacy policy,Makerdemy/Alexa-skills-in-24-hours/Section 7/7.12/Make my own type 2
output lack a privacy policy,robm26/travel-browser
output lack a privacy policy,niteshbharti005101/XploVR/AWS Backend/VG9
output lack a privacy policy,thiagofalves2/safra360
output lack a privacy policy,Makerdemy/Alexa-skills-in-24-hours/Section 4/4.3/Image quiz
output lack a privacy policy,RazaProdigy/Covid-19-Recommendation-System-Using-Alexa-Skills
output lack a privacy policy,kevinchen2023/SongMatch/KevinChenSongMatch
output lack a privacy policy,AdminAlexaBledina/AlexaDocumentation/05_intent_chaining
output lack a privacy policy,renatospaka/zero-2-hero
output lack a privacy policy,CamiWilliams/LevelUpRiddles-Workshop/Step 2 - Add ISP
output lack a privacy policy,TheDreamSaver/alexa-oreilly/cake time/02 - Add Birthday Logic
output lack a privacy policy,ArunSarva/Alexa-skill
output lack a privacy policy,oliver9321/memberCareAssistance
output lack a privacy policy,TheDreamSaver/alexa-workshop-convoke/DB Stuff
output lack a privacy policy,xarques/skill-joyeux-anniversaire/4-Persistence
output lack a privacy policy,niteshbharti005101/XploVR/AWS Backend/VG15
output lack a privacy policy,vpayette/skill-sample-node-device-location-api
output lack a privacy policy,dylan-nogueras/GatoEncerrado_TFG/Skill_Alexa_Gato_encerrado_ES_EN
